epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,29648.8,0.09909,0.36688,0.89575,0.99417,0.99782,0.99495,0.99488,0.0605,0.13542,0.391,0.0001522,0.0001522,0.0001522
90,29962.8,0.09711,0.35752,0.89585,0.99588,0.99764,0.99498,0.99496,0.06061,0.13833,0.38937,0.000139725,0.000139725,0.000139725
91,30285.1,0.05662,0.20392,0.86008,0.99606,0.99633,0.99499,0.99498,0.05606,0.1297,0.37836,0.00012725,0.00012725,0.00012725
92,30604.6,0.04286,0.09951,0.85565,0.9978,0.99951,0.995,0.99499,0.06311,0.10304,0.38177,0.000114775,0.000114775,0.000114775
93,30922.4,0.04118,0.0926,0.85498,0.99783,0.99936,0.995,0.995,0.06991,0.1038,0.38879,0.0001023,0.0001023,0.0001023
94,31251.4,0.03697,0.08868,0.85686,0.99893,0.99968,0.995,0.995,0.06311,0.09762,0.3856,8.9825e-05,8.9825e-05,8.9825e-05
95,31562.2,0.03589,0.08122,0.8568,0.99945,0.9984,0.995,0.995,0.06459,0.09495,0.38601,7.735e-05,7.735e-05,7.735e-05
96,31874.3,0.03441,0.07229,0.85648,0.99918,0.99968,0.995,0.995,0.06424,0.10579,0.38765,6.4875e-05,6.4875e-05,6.4875e-05
97,32188.2,0.03294,0.06072,0.85956,0.99892,0.99977,0.995,0.995,0.06121,0.08773,0.38422,5.24e-05,5.24e-05,5.24e-05
98,32509.6,0.03153,0.07058,0.85614,0.99929,0.99932,0.995,0.995,0.06139,0.0992,0.38535,3.9925e-05,3.9925e-05,3.9925e-05
99,32896.6,0.03007,0.06619,0.86002,0.99943,0.99939,0.995,0.995,0.06043,0.09941,0.38549,2.745e-05,2.745e-05,2.745e-05
100,33268.5,0.02942,0.05712,0.85392,0.99921,0.99977,0.995,0.995,0.05614,0.08896,0.38303,1.4975e-05,1.4975e-05,1.4975e-05
